"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\App.css", "CSS", 0, 12, 0, 4, 16
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\App.js", "JavaScript", 44, 0, 0, 3, 47
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\Loader\Loader.css", "CSS", 0, 611, 0, 120, 731
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\Loader\Loader.js", "JavaScript", 32, 0, 0, 6, 38
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\OpeningCrawl\OpeningCrawl.css", "CSS", 0, 23, 0, 6, 29
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\OpeningCrawl\OpeningCrawl.js", "JavaScript", 57, 0, 4, 17, 78
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\SearchBar\SearchBar.css", "CSS", 0, 51, 1, 9, 61
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\SearchBar\SearchBar.js", "JavaScript", 37, 0, 1, 6, 44
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\Sidebar\Navbar.js", "JavaScript", 82, 0, 4, 22, 108
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\Sidebar\SideBar.css", "CSS", 0, 123, 2, 24, 149
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\components\Sidebar\sidebarNavItems.js", "JavaScript", 95, 0, 10, 2, 107
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\index.css", "CSS", 0, 17, 1, 6, 24
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\index.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Blank.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Home\Home.css", "CSS", 0, 54, 1, 10, 65
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Home\Home.js", "JavaScript", 153, 0, 0, 22, 175
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Movie\MovieImage.js", "JavaScript", 35, 0, 0, 1, 36
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Movie\MoviePage.css", "CSS", 0, 69, 1, 11, 81
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Movie\MoviePage.js", "JavaScript", 330, 0, 7, 68, 405
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\People\PeopleImage.js", "JavaScript", 413, 0, 0, 1, 414
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\People\PeoplePage.css", "CSS", 0, 75, 1, 14, 90
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\People\PeoplePage.js", "JavaScript", 387, 0, 19, 81, 487
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Planet\PlanetImage.js", "JavaScript", 306, 0, 1, 1, 308
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Planet\PlanetLinks.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Planet\PlanetPage.js", "JavaScript", 230, 0, 8, 56, 294
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Planet\Planets.css", "CSS", 0, 91, 3, 15, 109
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Planet\WookiePlanet.js", "JavaScript", 0, 0, 257, 47, 304
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Species\SpeciesImage.js", "JavaScript", 188, 0, 0, 1, 189
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Species\SpeciesPage.css", "CSS", 0, 92, 1, 16, 109
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Species\SpeciesPage.js", "JavaScript", 228, 0, 8, 50, 286
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Starships\StarshipImage.js", "JavaScript", 184, 0, 0, 2, 186
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Starships\StarshipTable.js", "JavaScript", 154, 0, 2, 16, 172
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Starships\StarshipsPage.css", "CSS", 0, 66, 1, 12, 79
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Starships\StarshipsPage.js", "JavaScript", 232, 0, 3, 43, 278
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Vehicles\VehicleImage.js", "JavaScript", 199, 0, 0, 2, 201
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Vehicles\VehiclePage.css", "CSS", 0, 64, 1, 12, 77
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Vehicles\VehicleTable.js", "JavaScript", 147, 0, 1, 16, 164
"c:\Users\loucr\OneDrive\Desktop\React-Projects\StarWarsApi\starwars\src\pages\Vehicles\VehiclesPage.js", "JavaScript", 233, 0, 3, 45, 281
"Total", "-", 3791, 1348, 341, 774, 6254
